prop_address_zipcode_1,pin,year
60618,13232020401002,2020
60618,14183000410000,2020
60618,14301190551001,2021
60618,14193110260000,2022
60618,13241190400000,2017
60618,13261300210000,2017
60618,14193290571023,2017
60618,14191150230000,2020
60618,13133130290000,2017
60618,14183150360000,2017
60618,13233070160000,2021
60618,13243130180000,2021
60618,14191300401002,2021
60618,14191180330000,2020
60618,14191220380000,2020
60618,13231040130000,2021
60618,13243090281010,2021
60618,14191250050000,2021
60618,13241220481005,2022
60618,14183010461004,2022
60618,13233250430000,2021
60618,14191140090000,2021
60618,14301170411069,2019
60618,13233130411001,2017
60618,13231120341006,2017
60618,14183200401025,2017
60618,13262170840000,2018
60618,13143100020000,2016
60618,13232190391024,2022
60618,13252180190000,2017
60618,14183090310000,2017
60618,13133080371026,2017
60618,13144140100000,2019
60618,13251040300000,2019
60618,13133100220000,2022
60618,13143050040000,2019
60618,14191280080000,2021
60618,13232040540000,2021
60618,13252160200000,2021
60618,13251090521005,2021
60618,14192250371001,2020
60618,13252270370000,2016
60618,13261180350000,2020
60618,13133270260000,2020
60618,13134010120000,2020
60618,14183050361001,2022
60618,13262120390000,2022
60618,13252080350000,2022
60618,13144240180000,2022
60618,14193200170000,2021
60618,14183170430000,2021
60618,14183010020000,2021
60618,13231050180000,2021
60618,14193160450000,2021
60618,14191000351005,2021
60618,13241190450000,2021
60618,13233250190000,2022
60618,14184060080000,2016
60618,13261210310000,2022
60618,14191110421001,2022
60618,13243020240000,2016
60618,13261190340000,2016
60618,13232090060000,2016
60618,13252010471001,2022
60618,13144260260000,2022
60618,13241300461010,2018
60618,13231050321005,2022
60618,14301190461004,2022
60618,13241070370000,2020
60618,13133270311003,2020
60618,14193050271002,2022
60618,13244060290000,2022
60618,13241180130000,2022
60618,14301060951002,2016
60618,14191160160000,2016
60618,14301090080000,2016
60618,13143000180000,2021
60618,13143330140000,2021
60618,14191130230000,2021
60618,14191070130000,2021
60618,13141220370000,2022
60618,13242050250000,2022
60618,13232190391002,2022
60618,13144280431001,2017
60618,14183200411001,2017
60618,13241070040000,2021
60618,13262130130000,2021
60618,13241200300000,2021
60618,14183240350000,2021
60618,13144030120000,2019
60618,13143120280000,2021
60618,13143330120000,2021
60618,13143070340000,2021
60618,14193170441003,2021
60618,13134010461015,2022
60618,14183170380000,2020
60618,14183050300000,2021
60618,14183140320000,2021
60618,13234070090000,2021
60618,14193250150000,2021
60618,13133010421033,2021
60618,14191250401009,2019
60618,13144160040000,2017
60618,14193190511001,2017
60618,14194000270000,2017
60618,13251210140000,2020
60618,13144000250000,2020
60618,13261070461005,2020
60618,13243120140000,2017
60618,14301061021004,2017
60618,14193290160000,2018
60618,13133170391003,2017
60618,13251120040000,2022
60618,13133250381005,2022
60618,14193110250000,2017
60618,13134170050000,2017
60618,13131320290000,2017
60618,13261300100000,2021
60618,13262040250000,2021
60618,14191060250000,2021
60618,13134020340000,2021
60618,13261050100000,2017
60618,13143050140000,2021
60618,13252170030000,2021
60618,13231250250000,2016
60618,13262030060000,2021
60618,13242030400000,2019
60618,13144040060000,2019
60618,14191020320000,2019
60618,14193100320000,2020
60618,13143030090000,2020
60618,13242050361001,2020
60618,14191100300000,2020
60618,13262280150000,2020
60618,14183000451003,2020
60618,13251140470000,2021
60618,13231220300000,2017
60618,14193150491004,2020
60618,13243090291002,2016
60618,13233070060000,2021
60618,13233090260000,2017
60618,13241180100000,2017
60618,13132290361002,2017
60618,13243220310000,2017
60618,13251210340000,2021
60618,14193060300000,2017
60618,13232060210000,2017
60618,13262030230000,2017
60618,13262080460000,2017
60618,13233140410000,2017
60618,13144270420000,2017
60618,14191220050000,2021
60618,13231000160000,2021
60618,13251000200000,2020
60618,13261030050000,2020
60618,13252300450000,2021
60618,13261290130000,2016
60618,13144090070000,2021
60618,13243130130000,2016
60618,13144250280000,2021
60618,13134030420000,2017
60618,13133250381005,2017
60618,14191270420000,2017
60618,13261020320000,2018
60618,13232120310000,2018
60618,14193200190000,2016
60618,14193270140000,2016
60618,13144030330000,2016
60618,13231220330000,2016
60618,13261140060000,2020
60618,13143320130000,2022
60618,13241010230000,2017
60618,13231000010000,2017
60618,13143160240000,2017
60618,14193250350000,2017
60618,14183230121013,2021
60618,13262230210000,2018
60618,13144200100000,2018
60618,14183170070000,2020
60618,13244060491002,2020
60618,13261060160000,2022
60618,13232190391020,2022
60618,13262140941001,2021
60618,14301180351020,2020
60618,13242020471005,2020
60618,13252200140000,2021
60618,13144120431017,2021
60618,13242030070000,2020
60618,13134040530000,2016
60618,13252130070000,2020
60618,13131280341003,2020
60618,14183200401019,2020
60618,13144160050000,2022
60618,13251170030000,2022
60618,14301190541013,2020
60618,13252130030000,2021
60618,13134030530000,2020
60618,14191310541001,2020
60618,14191240070000,2020
60618,13133010441019,2021
60618,13143210141004,2016
60618,14193100040000,2016
60618,13262130180000,2016
60618,13143250400000,2017
60618,13232150310000,2017
60618,13244050210000,2020
60618,14193220170000,2016
60618,14183210260000,2020
60618,13144140250000,2022
60618,13251220511011,2017
60618,13261010100000,2021
60618,14183210601040,2016
60618,14181320180000,2016
60618,13252070340000,2016
60618,14191050140000,2019
60618,13261020270000,2021
60618,14183210601054,2017
60618,14183210601018,2017
60618,14301060931006,2017
60618,13134060060000,2020
60618,14193150040000,2020
60618,13252030460000,2020
60618,13242040110000,2020
60618,14191080220000,2018
60618,13241100080000,2016
60618,14183140250000,2021
60618,13233020230000,2021
60618,13262160560000,2022
60618,13251110301004,2022
60618,13262270410000,2020
