prop_address_zipcode_1,pin,year,board_tot,board_tot_num
60618,13232020401002,2020,31000,31000
60618,14183000410000,2020,27239,27239
60618,13241190400000,2017,59315,59315
60618,13261300210000,2017,27274,27274
60618,14193290571023,2017,3655,3655
60618,14191150230000,2020,78990,78990
60618,13133130290000,2017,48529,48529
60618,14183150360000,2017,99909,99909
60618,14191180330000,2020,59703,59703
60618,14191220380000,2020,76074,76074
60618,14301170411069,2019,28999,28999
60618,13233130411001,2017,24877,24877
60618,13231120341006,2017,17995,17995
60618,14183200401025,2017,1547,1547
60618,13262170840000,2018,141967,141967
60618,13143100020000,2016,9690,9690
60618,13252180190000,2017,43561,43561
60618,14183090310000,2017,30072,30072
60618,13133080371026,2017,1646,1646
60618,13144140100000,2019,44325,44325
60618,13251040300000,2019,40803,40803
60618,13143050040000,2019,37413,37413
60618,14192250371001,2020,39205,39205
60618,13252270370000,2016,28842,28842
60618,13261180350000,2020,33978,33978
60618,13133270260000,2020,98835,98835
60618,13134010120000,2020,14929,14929
60618,14184060080000,2016,50203,50203
60618,13243020240000,2016,27297,27297
60618,13261190340000,2016,36737,36737
60618,13232090060000,2016,20303,20303
60618,13241300461010,2018,8121,8121
60618,13241070370000,2020,77051,77051
60618,13133270311003,2020,19679,19679
60618,14301060951002,2016,12262,12262
60618,14191160160000,2016,34829,34829
60618,14301090080000,2016,99853,99853
60618,13144280431001,2017,20783,20783
60618,14183200411001,2017,57750,57750
60618,13144030120000,2019,24233,24233
60618,14183170380000,2020,42550,42550
60618,14191250401009,2019,19793,19793
60618,13144160040000,2017,22870,22870
60618,14193190511001,2017,90437,90437
60618,14194000270000,2017,54901,54901
60618,13251210140000,2020,40735,40735
60618,13144000250000,2020,29884,29884
60618,13261070461005,2020,5060,5060
60618,13243120140000,2017,18496,18496
60618,14301061021004,2017,30392,30392
60618,14193290160000,2018,65634,65634
60618,13133170391003,2017,15930,15930
60618,14193110250000,2017,48007,48007
60618,13134170050000,2017,67647,67647
60618,13131320290000,2017,16917,16917
60618,13261050100000,2017,27078,27078
60618,13231250250000,2016,26377,26377
60618,13242030400000,2019,41624,41624
60618,13144040060000,2019,146059,146059
60618,14191020320000,2019,64172,64172
60618,14193100320000,2020,110474,110474
60618,13143030090000,2020,82598,82598
60618,13242050361001,2020,17302,17302
60618,14191100300000,2020,137130,137130
60618,13262280150000,2020,36157,36157
60618,14183000451003,2020,37723,37723
60618,13231220300000,2017,37210,37210
60618,14193150491004,2020,53590,53590
60618,13243090291002,2016,28422,28422
60618,13233090260000,2017,32356,32356
60618,13241180100000,2017,30957,30957
60618,13132290361002,2017,41821,41821
60618,13243220310000,2017,21528,21528
60618,14193060300000,2017,102836,102836
60618,13232060210000,2017,32690,32690
60618,13262030230000,2017,24585,24585
60618,13262080460000,2017,17423,17423
60618,13233140410000,2017,53023,53023
60618,13144270420000,2017,51942,51942
60618,13251000200000,2020,8977,8977
60618,13261030050000,2020,150999,150999
60618,13261290130000,2016,32869,32869
60618,13243130130000,2016,0,0
60618,13134030420000,2017,42817,42817
60618,13133250381005,2017,12496,12496
60618,14191270420000,2017,55188,55188
60618,13261020320000,2018,35104,35104
60618,13232120310000,2018,49681,49681
60618,14193200190000,2016,51347,51347
60618,14193270140000,2016,93356,93356
60618,13144030330000,2016,29477,29477
60618,13231220330000,2016,50387,50387
60618,13261140060000,2020,36938,36938
60618,13241010230000,2017,36310,36310
60618,13231000010000,2017,227401,227401
60618,13143160240000,2017,29498,29498
60618,14193250350000,2017,50243,50243
60618,13262230210000,2018,27812,27812
60618,13144200100000,2018,78348,78348
